Pattern length,Data length,Number of assign,Number of compare,Time
21,3629,7259,14512,0ms
26,3629,7237,14468,0ms
37,3629,7208,14411,0ms
42,3629,7222,14439,1ms
67,3629,7148,14291,0ms
70,3629,7139,14273,0ms
21,34341,68933,137857,1ms
26,34341,68765,137520,1ms
37,34341,68874,137742,1ms
42,34341,68801,137596,1ms
67,34341,68845,137684,1ms
70,34341,68861,137716,2ms
21,125836,252680,505339,3ms
26,125836,252067,504112,4ms
37,125836,252718,505430,5ms
42,125836,252375,504744,5ms
67,125836,252658,505310,4ms
70,125836,252435,504864,5ms
