Pattern length,Data length,Number of assign,Number of compare
10,10000,23377,46749
20,10000,23355,46705
50,10000,23279,46553
100,10000,23273,46540
200,10000,22923,45841
500,10000,22240,44475
1000,10000,21077,42149
10,100000,233159,466313
20,100000,233133,466261
50,100000,233058,466111
100,100000,233013,466020
200,100000,232695,465385
500,100000,231989,463973
1000,100000,230824,461643
10,1000000,2332082,4664158
20,1000000,2332057,4664109
50,1000000,2331987,4663969
100,1000000,2331348,4662690
200,1000000,2331635,4663265
500,1000000,2330937,4661869
1000,1000000,2329765,4659525
